;Comment;Sentiment (Afinn's Dictionary)
39;zero I believe arbitrary miner user agree valid block easily check agree bit system work I suppose zero simple mention actual number zero need change time computational power miner grow design average time verify hash block minute;0.0
40;history transaction currency interestingedit I love I know block chain mind blow people internet I pretty sure blockchain introductory coding course mining profitable I circle claim min bitcoin authority essence compute power bitcoin identity blockchain original video I shaky complete understanding useful explaination bitcoin crypto I far I I greatful maybe lead I understand;6.0
41;idea I try find article video actually explain cryptocurrencie work analogy probably understand fully thank man;2.0
42;quality video deserve million subscriber view amazing talented young man talent explain smart possible actually earn money crypto rich money thank dude video shout thespacehackerscom real investment plan;13.0
43;regular lending rate ftx good compare bank fluctuate hour intra hour generally pay stake set yearly seldom change find good entry bare risk entail hand I consider opportunity cost crypto day high risk I think crypto far risky thing limit stupid fiscal policy feed money printing good owe trading invest I learn crypto expert I ton profit btw;4.0
44;obvious computer scientist terrible practice waste energy minute regardless transaction energy decide energy miner want waste answer possible profit minute miner spend bitcoin worth electricity profit btc expensive crypto energy waste;1.0
45;yeah proof work solution problem way proof time proof stake proof burn etc time reduce second instead minute practical fork network blockchain poor scalability consider transaction single individual spread store separately neat idea downside;-4.0
46;I probably centralized regulated currency way volatile reliable secure cryptocoin currency central authority wealthy centralize hold I alternative maybe player chip different game;7.0
47;inflation good regulate gentle inflation economy money flow stagnate wealth hording good reason gold standard away maybe look topic;11.0
48;TRUE;2.0
49;probably understand fully fact;0.0
50;haga un video sobre transformadas laplace fourier transformadas ya que esto ayudará muchos estudiantes de ingeniería mucha gente da por sentado que se sabe muy poco sobre su significado físico hay temas en ingeniería basado en transformadas como señale y sistemas procesamiento de señales teoría de control sus video seguramente marcarán una diferencia en la comprensión de estos temas;0.0
51;wow incredibly illustrate;4.0
52;clear video I I;1.0
53;exactly;0.0
54;I think thing notion decentralized ledger understanding actual bitcoin process vital understand apply cryptography deal security problem decentralize ledger;-2.0
55;acctually tho wtf;-4.0
56;loki;0.0
57;explanation I hear regurgitation simple analogy twist life story I want know nut bolt operation annoying;-1.0
58;becaus imaginary money;0.0
59;fiat currency;0.0
60;s new I oh hurt;-2.0
61;value;0.0
62;imaginarybecause realbecause imaginarydue reallike god imaginary friendsor santaor flat earthbecause imaginarybecause real;1.0
63;thank great explanation;5.0
64;great video explain bitcoin work understanding bitcoin possible happen limit ie reach stop scarcity value bitcoin contrast regular currency government issue currency issue bitcoin limit reach thx btw awesome video animation software use;8.0
65;coin find fee miner pay fee pay send btc mining pool process transaction pay high fee mean process;-3.0
66;master piece work thank simplify thing easy understand way request video alternate proof work;3.0
67;;0.0
68;educational video I watch thank real;2.0
69;;0.0
70;thank video I finally understand option trading option trading transform lot people money I live luxury life family good;7.0
71;;0.0
72;favourite video I away open similar style video proof stake mechanism ethereum transition beautiful work;5.0
73;I confused high level;-2.0
74;I confusion high level grokke video I grateful;3.0
75;nice way phrase thing;3.0
76;I search alot information know work watch video d;0.0
77;singh I profit alot;2.0
78;confusion level rare find;0.0
79;funny;4.0
80;surely confused;-2.0
81;I think I confused;-2.0
82;exactly I feel watch d;0.0
83;need regular joe use daily type language try explain regular joe watch youtube I bad joe lol;0.0
84;I deep interest love start actually I believe future;4.0
85;;0.0
86;thank informative video block chain methodology appear devise way ensure secure transaction people smart people I likely answer objection I guess I remain skeptical I base human nature greed ability people personal motive work system benefit example clever programmer place zero follow random number set end block chain insert payoff replacate large number pseudo block rapidly distribute quantity unsuspecting world bob uncle bitcoin magino line circumvent;4.0
87;hash compute place check block valid header commit content block compute hash block header low number way build block low hash try random stuff result hash function look clever programmer able set hash wish set block content compute hash low number try block content;-2.0
88;pantamis sorry example gordian knot analogy technical statement recall solve puzzle alexander great use sword cut rope problem solve time financial incentive I suspect problem solve similar fashion;-1.0
89;hayes expect puzzle solve minute solve fast difficulty increase way mean maybe way break mining brut force puzzle anymore notice note bitcoin danger signature integrity check algorithm use world finance web certificate communication change hash function impossible extreme case painful technically nullify analogy gordian knot limit rope static mining actually dynamical problem adapt try solve anti fragile;-1.0
90;scared try fall I time I find real trustworthy man I thank good I time thank sir;5.0
91;love vidjust want purely meta kind standpoint I love video editing graphic way tell story I constantly ask question mind like minute provide answer I definitely study lot video learn improve content masterful job audience engage fantastic work;18.0
92;update zil nft btc update zil nft btc;0.0
93;thank touch;2.0
94;prior watch I understand link mining validate transaction interesting system self adjust sure profitable big crash mining profitability result slowdown transaction system balance I guess issue big problem coin use real large scale rely guarantee volume large proportion bitcoin transaction real vital good service crash mining profitability drive value zero value tie volume system handle lack trust continually inflate continually hard restore validation capacity volatility issue real world business overall trend continually upwards I correct suggest bitcoin remain speculation asset store value replacement sovereign currency;6.0
95;yes stable deflationary deflationary currency bad currency problem incredibly wasteful contribute climate change level appear chart bad high price miner afford use electricity;-5.0
96;incorrect majority energy use bitcoin mining renewable energy source term profit potential bitcoin mining design way implicitly require necessity cheap renewable form energy production bitcoin mining actually incentivize need advancement technology renewable exactly currently look day realize controversial bitcoin mining turn technological catalyst planet need;0.0
97;inflationary currency unforeseen consequence energy expenditure I feel pale comparison gymnastic fiat currency rise result sound money prevent manipulation central bank price worth pay food thought government use climate excuse restrict access private citizen agree need energy solution passing thought I think carbon capture waste time little I research;-2.0
98;volatility probably mass adopt scaling problem;-1.0
99;deflationary currency bad I understand explain;-3.0
100;excellent detailed sense certainly help person know element;5.0
101;video open world crypto I thank;2.0
102;;0.0
103;fascinating video I rewatch second time find useful remind I use manim library create animation;5.0
104;;0.0
105;great video I watch video cryptocurrency work describe cryptocurrency work vague analogy I understand blame know thing core tell video short interesting video attact retain viewer I find video hesitate bit notice video length watch I think I understand basic crytocurrency work I question I know I likely find answer youtuber oversimplify thing great video thank;2.0
106;;0.0
107;far good explanation bitcoin I thank;5.0
108;;0.0
109;great video I question I fraud inquiry report I like remove I video regard I m bit confused I know step credit bureau experian I time I stop send good compny friend people I know regard credit situation;2.0
110;amazing video definitely good I block chain I actually feel I kind understand I understand order transaction surely lead spend money ledger place wrong order mitigate follow block chain computation happen trust block chain later replace I mean I know video wait block follow ensure trust occasional hole method trust line suddenly gotten replace;7.0
111;I sure exactly answer question transaction order pool transaction wait confirm happen transaction block miner point yes miner choose transaction block previous block able spend money money transaction money confirm order transaction confirm matter add new block I feel like miss video little bit unclear mean computational methodology set order transaction order request follow proof work way sync second question I expert grain salt ordinary situation multiple block chain usually create miner happen create different block chain original block create accept chain continue miner lose block receive extra currency effort block think example fraudulent block miner fraudulent add mean video create fraudulent block add mean consistently compete miner time wise order fraudulent chain accept think fast create block win lottery continuously fast like win lottery number block require select chain valid simply number chance win lottery time essentially theoretically slip fraudulent chain impossibly lucky course computer process number significant fast lead technology change;-11.0
112;bitcoin blockchain block block follow miner able access coin block hour minute block valid valid blockchain;-4.0
113;I love subtly touch p np process;3.0
114;;0.0
115;probably good explanation blockchain I;3.0
116;good video block chain I finally understand extent hole thing work thank;4.0
117;;0.0
118;idea I try find article video actually explain cryptocurrencie work analogy probably understand fully thank man;2.0
119;huge number current computing power mention global standard base soon bit hash collision come public view like year ago ledger start suffer fake transaction hire people watch transaction manually maybe type insurance loss maybe realize vulneribilitie hardware layer software layer mean lose money setup system ensure key exchange secure like network quantum key exchange maybe bitcoin like safe know like bank;3.0
120;sheibani calculate quintillion hash second;0.0
121;memisyazici I believe know talk;0.0
122;b okay;0.0
123;erdem memisyazici I pretty sure quintillion hash second slow planck time bijan hash second compare long;1.0
124;erdem memisyazici kinda like bank I mean privately bank enter ledger priv bank gold backing deposit bank pront money want fed reserv privately pos accept bank legal priv bank agree corrupt system kinda like church vatican;9.0
125;bijan sheibani simply w bitcoin security wonder ai ai robot technology ai use check detect weakness;-2.0
126;erdem memisyazici fast ai pc able calculate hash second;0.0
127;tell I synopsis bitcoin actually generate money wealth solve math short generate wealth;7.0
128;memisyazici I fucking clue quintillion use scientific notation big number normie mean quintillion probably second planck unit like hash second huge gap bit hash bit hash possibility additional possibility possibility original hash bit hash ridiculously large;0.0
129;I remember I use physical machine mining I stick tech host farm cloud mining service good;3.0
130;hey thank awesome tutorial I question happen true transaction gets reject;7.0
131;happen miner include transaction block example offer small transaction fee juicier generally transaction fit block happen option wait block try increase bid try miner pick transaction block look option like cash debit cryptocurrency experimental chain resolution programmer try work;2.0
132;depend mean true transaction bitcoin actually use currency transaction include big tip miner block comment discuss happen true transaction block partially reject extremely rare unlikely fork node network accept late block yield effectively blockchain grow;3.0
133;great simple explanation bitcoin work thank new subscriber wait watch video channel;5.0
134;;0.0
135;thank seed knowledge plant brain;2.0
136;cool video thank dependable I want ask hash function create understanding create function right create know algorithm reverse engineer yes person company create able exploit system find hash early key understand hash;3.0
137;know way reverse engineer good hash function use break lot bitcoin try;3.0
138;insecure problem bitcoin problem government bank use hash system security vulnerability load important info world compromise worry bitcoin rely certain hashing function rely hash function;-8.0
139;thank wish I work I;3.0
140;;0.0
141;great video I question I fraud inquiry report I like remove I video regard I m bit confused I know step credit bureau experian I time I stop send good compny friend people I know regard credit situation;2.0
142;market grow daily new strategy work long period time I glad I finally start invstment wait turn;3.0
143;use virtual crypto;0.0
144;step cryptocurrency world time trading I feel confident decision I time trading capital month market large support mentor I I big goal platinum academy provide I support I need trading I think forex course year I egg basket;7.0
145;timer venture cryptocurrency investment course fairly insightful cover basic understand cryptocurrency market relevant chart analysis technique session think compose easy digest manner kudo thing easily understandable overall solid cryptocurrency programme I recommend interested learn fundamental cryptocurrency market chart analysis;7.0
146;right real investor tell height virtual crypto come;0.0
147;wow special I enjoy detailed explanation accompanying video sha hash thank share;9.0
148;busyrand I;0.0
149;exceptional explanation thank;2.0
150;rename accurate cryptocurrencie work differently I literally think issue video week ago I video year release;0.0
151;;0.0
152;beautiful chanel I appreciate pure precise precious information I fascinated level mathematic knowledge simply understandibly illustrate I use video learn vector wonderfully explain tought I big fan thank;19.0
153;video informative especially try research cryptocurrency thank;2.0
154;timer venture cryptocurrency investment course fairly insightful cover basic understand cryptocurrency market relevant chart analysis technique session think compose easy digest manner kudo thing easily understandable overall solid cryptocurrency programme I recommend interested learn fundamental cryptocurrency market chart analysis;7.0
155;right real investor tell height virtual crypto come;0.0
156;reason virtualcryptomine favorite investor guide I I information I know bitcoin crypto currency;2.0
157;scamread pin comment;0.0
158;fabulous concise video thank;6.0
159;minute time month day hour;0.0
160;clear explanation thank lot bro;3.0
161;;0.0
162;excellent work informative video crypto;3.0
163;big thank man good feeling poor life loose hope;4.0
164;I alot video relate informational;0.0
165;finally understand principle I watch number video read book I slow learner great video;3.0
166;thank comment video help trade;4.0
167;software teamspeak use proof work security level high unlikely spammer build run single cpu core year ago measure hour day week level I write solver run gpu I week level connection bitcoin;-4.0
168;good video far I come explain technicality I love thank wonderful video;12.0
169;;0.0
170;thank I want understand blockchain long time youtube video helpful fun watch good explain complicated stuff lucid way new subscriber;12.0
